species,scientific name,type,english name,english_name
Bufo bufo,Bufo bufo,Amphibian,Common Toad,Common Toad
Lissotriton helveticus,Lissotriton helveticus,Amphibian,Palmate Newt,Palmate Newt
Lissotriton vulgaris,Lissotriton vulgaris,Amphibian,Smooth Newt,Smooth Newt
Rana temporaria,Rana temporaria,Amphibian,Common Frog,Common Frog
Triturus cristatus,Triturus cristatus,Amphibian,Great Crested Newt,Great Crested Newt
Acacia melanoxylon,Acacia melanoxylon,Angiosperm,Australian blackwood,Australian blackwood
Achillea millefolium,Achillea millefolium,Angiosperm,Yarrow,Yarrow
Achillea ptarmica,Achillea ptarmica,Angiosperm,Sneezewort,Sneezewort
Acroptilon repens,Acroptilon repens,Angiosperm,Russian knapweed,Russian knapweed
Adoxa moschatellina,Adoxa moschatellina,Angiosperm,Moschatel,Moschatel
Aegopodium podagraria,Aegopodium podagraria,Angiosperm,Ground Elder,Ground Elder
Aethusa cynapium,Aethusa cynapium,Angiosperm,Fools Parsley,Fools Parsley
Agrilus planipennis ,Agrilus planipennis ,Angiosperm,Emerald ash borer ,Emerald ash borer 
Agrimonia eupatoria,Agrimonia eupatoria,Angiosperm,Agrimony,Agrimony
Agrimonia procera,Agrimonia procera,Angiosperm,Fragrant Agrimony,Fragrant Agrimony
Agrostemma githago,Agrostemma githago,Angiosperm,Corncockle,Corncockle
Agrostis canina,Agrostis canina,Angiosperm,Velvet Bent,Velvet Bent
Agrostis capillaris,Agrostis capillaris,Angiosperm,Common Bent,Common Bent
Agrostis gigantea,Agrostis gigantea,Angiosperm,Black Bent,Black Bent
Agrostis stolonifera,Agrostis stolonifera,Angiosperm,Creeping Bent,Creeping Bent
Agrostis vinealis,Agrostis vinealis,Angiosperm,Brown Bent,Brown Bent
Aira caryophyllea,Aira caryophyllea,Angiosperm,Silver Hair-grass,Silver Hair-grass
Aira praecox,Aira praecox,Angiosperm,Early Hair-grass,Early Hair-grass
Ajuga pyramidalis,Ajuga pyramidalis,Angiosperm,Pyramidal Bugle,Pyramidal Bugle
Ajuga reptans,Ajuga reptans,Angiosperm,Bugle,Bugle
Akebia quinata,Akebia quinata,Angiosperm,Five-leaf akebia,Five-leaf akebia
Alchemilla alpina,Alchemilla alpina,Angiosperm,Alpine Ladys-mantle,Alpine Ladys-mantle
Alchemilla filicaulis,Alchemilla filicaulis,Angiosperm,Hairy Ladys-mantle,Hairy Ladys-mantle
Alchemilla filicaulis subsp. vestita,Alchemilla filicaulis subsp. vestita,Angiosperm,Alchemilla filicaulis subsp. vestita,Alchemilla filicaulis subsp. vestita
Alchemilla glabra,Alchemilla glabra,Angiosperm,Smooth Ladys-mantle,Smooth Ladys-mantle
Alchemilla glaucescens,Alchemilla glaucescens,Angiosperm,Glaucous Ladys-mantle,Glaucous Ladys-mantle
Alchemilla glomerulans,Alchemilla glomerulans,Angiosperm,Ladys-mantle_sp_ glomerulans,Ladys-mantle_sp_ glomerulans
Alchemilla mollis,Alchemilla mollis,Angiosperm,Garden Ladys-mantle,Garden Ladys-mantle
Alchemilla vulgaris agg.,Alchemilla vulgaris agg.,Angiosperm,Ladies Mantles,Ladies Mantles
Alchemilla wichurae,Alchemilla wichurae,Angiosperm,Ladys-mantle_sp_ wichurae,Ladys-mantle_sp_ wichurae
Alchemilla xanthochlora,Alchemilla xanthochlora,Angiosperm,Intermediate Ladys-mantle,Intermediate Ladys-mantle
Alisma lanceolatum,Alisma lanceolatum,Angiosperm,Narrow-leaved Water-plantain,Narrow-leaved Water-plantain
Alisma plantago-aquatica,Alisma plantago-aquatica,Angiosperm,Water-plantain,Water-plantain
Alliaria petiolata,Alliaria petiolata,Angiosperm,Garlic Mustard,Garlic Mustard
Allium neapolitanum ,Allium neapolitanum ,Angiosperm,Neapolitan garlic,Neapolitan garlic
